,date,contest_num,word,n_reported,n_hard,try_1,try_2,try_3,try_4,try_5,try_6,try_x,hard/reported%,date_num
234,2022-05-11,326,farce,79446,5688,0,9,26,32,21,9,1,7.1595800921380555,0
233,2022-05-12,327,slung,75673,5419,0,2,16,37,31,13,2,7.16107462370991,1
232,2022-05-13,328,tipsy,77585,5522,0,6,33,38,17,5,1,7.117355158858027,2
231,2022-05-14,329,metal,73225,5290,1,10,31,34,18,7,1,7.224308637760328,3
230,2022-05-15,330,yield,67115,4963,0,4,16,29,29,18,4,7.394770170602697,4
229,2022-05-16,331,delve,68349,5179,0,2,14,32,33,16,2,7.577287158553893,5
228,2022-05-17,332,being,70722,5142,0,4,22,37,26,10,1,7.270721981844405,6
227,2022-05-18,333,scour,73933,5544,0,8,34,35,17,5,1,7.498681238418568,7
226,2022-05-19,334,glass,70920,5162,0,4,19,33,27,14,3,7.278623801466441,8
225,2022-05-20,335,gamer,69884,5238,1,4,17,28,26,18,6,7.495277889073322,9
224,2022-05-21,336,scrap,66814,4973,1,9,28,34,20,8,1,7.443050857604694,10
223,2022-05-22,337,money,67909,4928,1,7,26,36,21,8,1,7.256770089384323,11
222,2022-05-23,338,hinge,66431,4906,0,5,25,37,22,9,2,7.385106350950609,12
221,2022-05-24,339,album,63380,4809,0,5,26,35,24,9,1,7.587567055853582,13
220,2022-05-25,340,vouch,62723,4835,0,2,9,25,33,24,6,7.708496085965276,14
219,2022-05-26,341,asset,63188,4733,0,7,28,34,21,8,1,7.490346268278787,15
218,2022-05-27,342,tiara,63846,4842,0,8,36,33,17,6,1,7.583873696081195,16
217,2022-05-28,343,crept,60069,4562,0,4,27,38,22,7,1,7.594599543857897,17
216,2022-05-29,344,bayou,56839,4435,0,6,17,33,29,13,2,7.802741075669875,18
215,2022-05-30,345,atoll,60969,4741,0,6,28,36,21,8,1,7.776082927389329,19
214,2022-05-31,346,manor,62768,4802,0,6,27,34,21,10,2,7.650395105786388,20
213,2022-06-01,347,creak,63241,4797,0,5,21,32,25,14,3,7.585269050141521,21
212,2022-06-02,348,showy,61278,4770,0,2,16,37,30,13,2,7.7841966121609705,22
211,2022-06-03,349,peach,65431,4957,1,13,38,32,13,3,0,7.57591967110391,23
210,2022-06-04,350,froth,58263,4432,0,5,22,35,25,11,1,7.606886016854608,24
209,2022-06-05,351,depth,56738,4329,0,6,28,39,20,6,1,7.629807183897917,25
208,2022-06-06,352,gloom,58478,4548,0,2,14,35,35,13,1,7.777283764834639,26
207,2022-06-07,353,flood,58991,4440,0,3,20,40,28,8,1,7.5265718499432115,27
206,2022-06-08,354,trait,61026,4607,0,6,22,35,24,11,2,7.549241306983909,28
205,2022-06-09,355,girth,60020,4665,0,6,23,33,23,12,3,7.772409196934356,29
204,2022-06-10,356,piety,55376,4324,0,4,25,41,22,7,1,7.808436867957237,30
203,2022-06-11,357,goose,51958,4087,0,2,12,28,32,21,5,7.86596866700027,31
202,2022-06-12,358,float,56684,4323,1,12,30,32,18,6,1,7.626490720485498,32
201,2022-06-13,359,donor,53802,4142,0,3,27,38,23,7,1,7.698598565109103,33
200,2022-06-14,360,atone,59968,4762,2,16,34,29,14,4,1,7.94090181430096,34
199,2022-06-15,361,primo,55989,4391,0,3,22,38,25,10,2,7.842611941631391,35
198,2022-06-16,362,apron,53430,4112,0,7,30,38,19,5,1,7.69605090772974,36
197,2022-06-17,363,blown,54665,4251,0,6,23,35,26,10,1,7.776456599286563,37
196,2022-06-18,364,cacao,47205,4101,0,1,9,27,36,23,4,8.687639021290119,38
195,2022-06-19,365,loser,55359,4399,1,10,28,32,19,8,2,7.946314059141242,39
194,2022-06-20,366,input,50484,3950,0,5,30,38,21,6,1,7.824261152048173,40
193,2022-06-21,367,gloat,53342,4194,0,8,21,31,26,12,2,7.86247234824341,41
192,2022-06-22,368,awful,47645,3861,0,5,21,33,27,12,2,8.10368349249659,42
191,2022-06-23,369,brink,53111,4118,0,4,22,41,24,7,1,7.7535727062190505,43
190,2022-06-24,370,smite,50617,3991,0,6,23,35,24,11,2,7.884702767844795,44
189,2022-06-25,371,beady,46089,3670,0,3,19,39,29,10,1,7.962854477207143,45
188,2022-06-26,372,rusty,50450,3954,0,9,37,34,13,5,1,7.837462834489593,46
187,2022-06-27,373,retro,47986,3848,0,6,24,35,24,9,1,8.019005543283457,47
186,2022-06-28,374,droll,47312,3844,0,2,16,31,31,17,3,8.124788637132228,48
185,2022-06-29,375,gawky,45645,3957,0,1,5,22,33,28,10,8.669076569175155,49
184,2022-06-30,376,hutch,44212,3758,0,1,12,28,28,21,9,8.499954763412648,50
183,2022-07-01,377,pinto,47248,3792,0,5,25,41,22,6,1,8.025736539112767,51
182,2022-07-02,378,egret,41765,3515,0,3,14,33,33,15,2,8.416137914521729,52
181,2022-07-03,379,lilac,40486,3461,0,2,17,38,29,12,1,8.548634095736798,53
180,2022-07-04,380,sever,42645,3591,0,2,13,27,29,21,7,8.42068237776996,54
179,2022-07-05,381,field,44578,3604,1,6,25,36,23,9,1,8.084705460092422,55
178,2022-07-06,382,fluff,47344,4049,0,0,4,25,44,23,4,8.552298073673539,56
177,2022-07-07,383,agape,43407,3671,0,2,18,36,27,15,3,8.457161287349967,57
176,2022-07-08,384,voice,42806,3484,1,5,24,35,25,9,1,8.139045928140915,58
175,2022-07-09,385,stead,47094,3933,1,6,20,27,28,16,3,8.35138234169958,59
174,2022-07-10,386,berth,41785,3494,0,7,24,35,24,9,1,8.361852339356227,60
173,2022-07-11,387,madam,40545,3430,0,3,13,35,34,14,2,8.45973609569614,61
172,2022-07-12,388,night,46910,3870,1,8,27,27,17,13,7,8.24984011937753,62
171,2022-07-13,389,bland,46246,3727,0,7,31,38,18,4,0,8.059075379492281,63
170,2022-07-14,390,liver,40549,3388,0,4,16,26,25,20,8,8.355323189227848,64
169,2022-07-15,391,wedge,39234,3353,0,2,11,32,37,17,2,8.546158943773257,65
168,2022-07-16,392,roomy,38769,3280,0,2,17,41,28,10,2,8.46036781964972,66
167,2022-07-17,393,wacky,39611,3345,0,3,18,39,27,10,2,8.444623968089672,67
166,2022-07-18,394,flock,42574,3548,0,4,22,37,27,9,1,8.33372480856861,68
165,2022-07-19,395,angry,39667,3358,0,5,27,38,21,7,1,8.465475080041344,69
164,2022-07-20,396,trite,42237,3685,0,4,14,22,22,23,15,8.724577976655539,70
163,2022-07-21,397,aphid,39086,3367,0,6,24,36,23,9,2,8.614337614491122,71
162,2022-07-22,398,tryst,43099,3665,0,3,26,41,23,6,1,8.503677579526208,72
161,2022-07-23,399,midge,36769,3111,0,2,18,39,28,10,2,8.460931763170061,73
160,2022-07-24,400,power,39813,3401,2,6,19,29,24,15,4,8.54243588777535,74
159,2022-07-25,401,elope,39228,3339,0,4,22,32,26,13,2,8.511777301927195,75
158,2022-07-26,402,cinch,39171,3507,0,2,15,24,22,25,13,8.953052002757142,76
157,2022-07-27,403,motto,38384,3285,0,1,11,36,36,14,1,8.558253438932889,77
